City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Ariquemes,BR,-9.9133,-63.0408,82.51,34,3,2.53,clear sky
153,Brae,GB,60.3964,-1.353,49.91,79,100,12.73,overcast clouds
154,Slidell,US,30.2752,-89.7812,93.31,61,1,1.01,clear sky
155,Port Keats,AU,-14.25,129.55,72.95,90,74,4.94,broken clouds
156,Khatanga,RU,71.9667,102.5,62.56,72,46,9.64,scattered clouds
157,Kahului,US,20.8947,-156.47,85.26,62,20,28.77,few clouds
158,Nantucket,US,41.2835,-70.0995,73.51,72,1,9.22,clear sky
159,Hithadhoo,MV,-0.6,73.0833,81.07,72,91,6.98,overcast clouds
160,Omsukchan,RU,62.5333,155.8,34.74,100,100,8.72,light rain
161,Inirida,CO,3.8653,-67.9239,75.36,94,54,2.75,broken clouds
162,Voh,NC,-20.9667,164.7,68.99,50,1,5.03,clear sky
163,Esperance,AU,-33.8667,121.9,53.24,64,56,23.02,broken clouds
164,Novovarshavka,RU,54.1721,74.6946,65.37,72,44,7.96,scattered clouds
165,Shanghai,CN,31.2222,121.4581,82.26,94,75,4.47,light rain
166,Aland,IN,17.5667,76.5667,72.68,83,82,16.08,broken clouds
167,Kotlas,RU,61.2611,46.6556,58.46,99,99,6.11,moderate rain
168,Jacareacanga,BR,-6.2222,-57.7528,88.65,30,33,2.53,scattered clouds
169,Kumukh,RU,42.1704,47.1161,59.05,79,99,6.06,overcast clouds
170,Arroio Do Meio,BR,-29.4011,-51.945,58.32,69,1,0.4,clear sky
171,Thinadhoo,MV,0.5333,72.9333,81.68,72,98,5.03,overcast clouds
172,Severo-Kurilsk,RU,50.6789,156.125,55.53,73,0,14.61,clear sky
173,Kaitangata,NZ,-46.2817,169.8464,45.75,93,32,4.5,scattered clouds
174,Santiago,CL,-33.4569,-70.6483,76.44,18,0,0.0,clear sky
175,Meulaboh,ID,4.1363,96.1285,74.75,89,100,5.32,overcast clouds
176,Porbandar,IN,21.6422,69.6093,81.23,83,100,21.27,overcast clouds
177,Orsha,BY,54.5153,30.4053,67.15,66,100,6.2,overcast clouds
178,Victoria,HK,22.2855,114.1577,85.32,89,93,3.0,overcast clouds
179,Souillac,MU,-20.5167,57.5167,67.35,94,75,8.05,light intensity shower rain
180,Tasiilaq,GL,65.6145,-37.6368,53.76,76,38,4.83,scattered clouds
181,Padang,ID,-0.9492,100.3543,74.71,91,98,5.73,overcast clouds
