City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Labuhan,ID,76.37,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
333,Kitimat,CA,82.78,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
340,Haines Junction,CA,80.55,few clouds,60.7522,-137.5108,Parkside Inn
341,Muborak,UZ,82.38,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
345,Trairi,BR,78.35,overcast clouds,-3.2778,-39.2689,janelas do mar
346,Akyab,MM,79.75,overcast clouds,20.15,92.9,Hotel Memory
348,Batu Berendam,MY,77.05,few clouds,2.2487,102.246,New Century Hotel Melaka
358,Dodge City,US,84.45,haze,37.7528,-100.0171,Windsor Inn & Suites
362,Limbang,MY,77.31,moderate rain,4.75,115.0,Purnama Hotel
363,Somers,US,77.4,haze,42.6403,-87.9104,Oasis Inn Kenosha
364,Mabaruma,GY,76.75,few clouds,8.2,-59.7833,Monty Brooms Guest House
372,Thanh Hoa,VN,77.54,moderate rain,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
373,Takoradi,GH,75.51,few clouds,4.8845,-1.7554,Raybow International Hotel
374,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
376,Georgetown,MY,75.88,few clouds,5.4112,100.3354,Cititel Penang
381,Korla,CN,75.42,overcast clouds,41.7597,86.1469,Gulisitan Hotel
392,Barisal,BD,78.89,overcast clouds,22.7019,90.3711,Hotel Arefin Residential
396,Coatesville,US,75.69,overcast clouds,39.9832,-75.8238,Courtyard by Marriott Philadelphia Coatesville/Exton
398,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
402,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
404,Faanui,PF,77.76,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
408,Dicabisagan,PH,81.27,light rain,17.0818,122.4157,Nancy Montanes Bernardo
410,Ambunti,PG,75.18,scattered clouds,-4.2365,142.8448,Ambunti Lodge
411,Bontang,ID,76.26,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
412,Kieta,PG,80.53,clear sky,-6.2167,155.6333,Uruna Bay Retreat
413,Dogondoutchi,NE,87.1,broken clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
414,Pedasi,PA,83.19,overcast clouds,7.5333,-80.0333,Selina Pedasi
420,Guiratinga,BR,77.74,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
427,High Level,CA,89.71,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
429,Jieshi,CN,83.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
433,Singapore,SG,78.75,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
434,Amahai,ID,76.87,few clouds,-3.3333,128.9167,HOTEL ISABELA
436,Pacific Grove,US,83.16,clear sky,36.6177,-121.9166,Lovers Point Inn
439,Knoxville,US,85.15,clear sky,35.9606,-83.9207,Hilton Knoxville
443,Senador Guiomard,BR,83.95,clear sky,-10.1522,-67.7392,Paraíso Hotel
444,Tecoanapa,MX,87.28,scattered clouds,16.5167,-98.75,Hotel Manglares
449,Kismayo,SO,75.29,scattered clouds,-0.3582,42.5454,Agan-Hotel
454,Juru,MY,75.9,few clouds,5.312,100.4423,Luscious Hotel
455,Los Alamos,US,75.76,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
456,Portobelo,PA,84.61,overcast clouds,9.55,-79.65,Scuba Portobelo
457,Guanica,PR,86.5,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
461,Kamaishi,JP,77.18,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
462,Aklavik,CA,84.92,overcast clouds,68.2191,-135.0107,Aklavik Inn
467,Mikuni,JP,78.71,clear sky,36.2171,136.1519,Haiya
468,Guerrero Negro,MX,83.82,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
471,Izumo,JP,80.55,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
480,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
481,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
485,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
486,Villa Bruzual,VE,75.99,broken clouds,9.3328,-69.1208,Edificio Guarente
492,Tiruchchendur,IN,81.37,overcast clouds,8.4833,78.1167,Hotel Udhayam International
494,Acapulco,MX,89.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
498,Kloulklubed,PW,83.64,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
502,Sao Felix Do Xingu,BR,85.19,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
506,Les Cayes,HT,84.31,broken clouds,18.2,-73.75,Villa Orphee
