City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Mandan,US,2021-07-31 22:54:46,46.8267,-100.8896,89.04,29,1,3.0
142,Umarkot,PK,2021-07-31 22:54:46,25.3616,69.7362,82.76,74,100,20.62
143,Praia,CV,2021-07-31 22:54:47,14.9215,-23.5087,77.54,78,40,13.8
144,Port Elizabeth,ZA,2021-07-31 22:51:19,-33.918,25.5701,52.09,66,0,6.91
145,Ilulissat,GL,2021-07-31 22:49:03,69.2167,-51.1,41.38,83,27,4.29
146,Te Anau,NZ,2021-07-31 22:54:48,-45.4167,167.7167,47.89,96,99,1.59
147,Sao Joao Da Barra,BR,2021-07-31 22:54:49,-21.6403,-41.0511,66.76,62,99,10.83
148,Harper,LR,2021-07-31 22:53:09,4.375,-7.7169,76.66,84,100,11.05
149,Alofi,NU,2021-07-31 22:51:42,-19.0595,-169.9187,75.09,94,97,12.66
150,Tutoia,BR,2021-07-31 22:54:50,-2.7619,-42.2744,78.57,81,3,10.65
151,Mezhdurechensk,RU,2021-07-31 22:54:51,53.6942,88.0603,53.73,88,27,2.57
152,Pozo Colorado,PY,2021-07-31 22:54:51,-23.4923,-58.7972,61.23,33,100,8.19
153,Alta Floresta,BR,2021-07-31 22:54:52,-9.8756,-56.0861,78.82,29,24,4.74
154,Pisco,PE,2021-07-31 22:54:53,-13.7,-76.2167,66.25,68,0,10.36
155,San Quintin,MX,2021-07-31 22:54:53,30.4833,-115.95,75.79,66,40,13.73
156,Pemba,MZ,2021-07-31 22:54:54,-12.974,40.5178,75.9,83,75,13.0
157,Pangody,RU,2021-07-31 22:54:55,65.85,74.4859,47.23,82,14,7.67
158,Shache,CN,2021-07-31 22:54:55,38.4167,77.2406,80.69,33,100,18.3
159,George,ZA,2021-07-31 22:54:56,-33.963,22.4617,47.75,93,0,1.14
160,Angoche,MZ,2021-07-31 22:52:01,-16.2325,39.9086,73.04,76,30,12.15
161,Kaitangata,NZ,2021-07-31 22:52:52,-46.2817,169.8464,49.23,96,100,2.77
162,Xuanwu,CN,2021-07-31 22:54:57,32.069,118.8138,81.81,87,2,1.41
163,Losevo,RU,2021-07-31 22:54:58,50.6767,40.045,70.3,61,4,3.91
164,Gap,FR,2021-07-31 22:54:59,44.6667,6.0,46.83,91,98,5.57
165,Katsuura,JP,2021-07-31 22:55:00,35.1333,140.3,84.31,77,80,3.91
166,Alvorada,BR,2021-07-31 22:55:00,-12.48,-49.1247,82.29,33,89,5.06
167,Mount Gambier,AU,2021-07-31 22:51:05,-37.8333,140.7667,40.91,100,12,9.22
168,Rio Tercero,AR,2021-07-31 22:55:01,-32.173,-64.1141,53.8,33,0,3.98
169,Mikuni,JP,2021-07-31 22:55:02,36.2171,136.1519,78.71,75,24,1.19
170,Arroyo,ES,2021-07-31 22:55:02,41.6096,-4.7969,59.22,66,40,8.05
171,Veliki Crljeni,RS,2021-07-31 22:55:03,44.4675,20.2844,73.44,70,28,5.84
172,East London,ZA,2021-07-31 22:51:25,-33.0153,27.9116,66.09,25,95,6.6
173,Victoria,HK,2021-07-31 22:49:05,22.2855,114.1577,85.32,91,99,1.01
174,Moose Factory,CA,2021-07-31 22:52:12,51.2585,-80.6094,66.2,55,1,6.91
175,Mount Isa,AU,2021-07-31 22:47:00,-20.7333,139.5,71.37,56,90,2.3
176,Champerico,GT,2021-07-31 22:52:41,14.3,-91.9167,88.36,73,45,7.43
177,Cayenne,GF,2021-07-31 22:53:12,4.9333,-52.3333,83.08,79,0,1.99
178,Saint George,US,2021-07-31 22:46:29,37.1041,-113.5841,95.47,31,1,10.36
179,Sao Filipe,CV,2021-07-31 22:55:07,14.8961,-24.4956,75.81,84,84,8.21
180,Puerto Narino,CO,2021-07-31 22:55:07,-3.7703,-70.3831,76.95,61,11,0.29
181,Kavaratti,IN,2021-07-31 22:55:08,10.5669,72.642,81.1,81,18,15.37
182,Vallenar,CL,2021-07-31 22:55:09,-28.5708,-70.7581,64.06,41,0,1.72
183,Abha,SA,2021-07-31 22:55:10,18.2164,42.5053,62.42,94,0,0.0
184,Lagoa,PT,2021-07-31 22:55:10,39.05,-27.9833,70.66,87,100,9.15
185,Astana,KZ,2021-07-31 22:50:22,51.1801,71.446,64.35,59,0,4.47
186,Sarahan,IN,2021-07-31 22:55:11,31.5167,77.8,62.89,89,38,0.94
